	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10	Axis.11	Axis.12	Axis.13	Axis.14	Axis.15	Axis.16	Axis.17	Axis.18	Axis.19	Axis.20	Axis.21	Axis.22	Axis.23	Axis.24	Axis.25	Axis.26	Axis.27	Axis.28	Axis.29	Axis.30	Axis.31	Axis.32	Axis.33	Axis.34	Axis.35	Axis.36	Axis.37	Axis.38	Axis.39	Axis.40	Axis.41	Axis.42	Axis.43	Axis.44	Axis.45	Axis.46	Axis.47	Axis.48	Axis.49	Axis.50	Axis.51	Axis.52	Axis.53	Axis.54	Axis.55	Axis.56	Axis.57	Axis.58	Axis.59	Axis.60	Axis.61
AS1	0.117634344	0.226188866	0.322044198	0.062165401	-0.410526701	0.396048222	0.462961591	-0.179271823	0.213861587	-0.009510737	0.094143627	0.020594453	-0.028789939	-0.030023926	-0.110227165	-0.089566452	0.182845875	-0.024229113	-0.020681237	0.053667751	0.125655534	-0.138576419	-0.078865655	0.034776857	-0.180684481	-0.011934949	-0.133206423	0.004394353	-0.04827146	0.102265052	0.035831458	0.013399985	-0.029971463	0.029820888	-0.092035223	0.060933314	0.011739462	-0.031265852	0.082849653	-0.028852544	0.015494484	-0.018126043	-0.05077265	0.016011713	-0.014061495	-0.055790337	0.032507671	0.02425522	-0.011225501	-0.003624208	0.013733343	-0.023518312	0.013410371	-0.029331369	0.017334576	-0.004102198	0.016387623	-0.013852185	-0.005253883	-0.012208609	-0.003405952
AS2	0.135162723	0.026984064	-0.000932646	0.392892315	-0.331612551	0.419066627	0.041252151	-0.005930455	-0.091952526	-0.462927871	0.013861306	-0.216788683	-0.102600382	-0.164536379	0.182262241	-0.199956222	0.081650392	0.062392057	0.045835893	0.201960016	0.089907758	0.096195548	-0.064387844	0.005113123	-0.094156378	0.059233263	0.034406567	-0.042314046	-0.084346514	-0.146320232	0.079800397	-0.116186042	0.024083872	-0.024272576	0.030825766	-0.030097377	-0.002836804	-0.056625862	-0.091923381	-0.003216255	-0.017943734	0.009994434	-0.008839832	0.032236759	-0.023092121	0.022841209	-0.006700796	-0.014085443	-0.008664283	0.043091281	-0.000131902	-0.004132116	0.000726227	-0.006783188	-0.000683409	-0.009518561	-0.00697707	-0.002987118	0.006246733	0.004081227	-0.012178569
AS3	0.702852455	0.083717025	-0.098605086	0.130319165	0.007142796	0.435827088	-0.228515899	-0.122824353	-0.033958849	0.094350618	0.09604215	-0.205426466	-0.080733495	-0.022081332	-0.068958905	-0.074914277	0.130025986	-0.123837709	-0.04024677	0.171070337	-0.007677136	-0.114080406	-0.047697829	0.041304258	0.035389563	-0.024743979	0.002099947	-0.100739933	-0.003972436	0.089833116	-0.004147426	0.01056921	0.009283957	0.06069174	-0.0112295	0.007135433	0.090888267	0.003216622	-0.067442273	-0.009665733	0.080943041	0.038190556	-0.032491811	-0.038363242	0.036551972	-0.040696837	-0.034231445	-0.008569524	-0.000897998	0.011417594	-0.005923838	-0.010775063	-0.014100453	0.020581218	-0.046707854	0.014928648	-0.002728336	0.023649263	0.004123186	0.005555358	0.014440386
AS4	-0.505337855	-0.017216163	-0.16367693	-0.627640924	-0.094586101	-0.247697475	0.258873602	0.029335854	0.07113205	-0.061069656	-0.103481513	0.145977721	0.014435474	-0.189180083	-0.017087146	0.145905768	0.141983137	-0.039223017	0.058200026	0.101832994	-0.029913049	-0.01286735	0.062490637	-0.080668578	0.034166984	0.069804866	-0.002749878	-0.022399955	0.084526949	-5.92E-05	-0.045556217	-0.025787691	0.038866467	0.038859558	0.041400165	-0.024481844	0.002507011	0.031170955	-0.01889082	-0.031794322	0.015584998	0.007982494	0.00172142	0.071583877	-0.01629916	-0.00649659	-0.01061421	-0.033031001	-0.04889416	0.054615183	-0.029618351	-0.006396756	-0.010587981	-0.01938189	-0.029299343	-0.002181469	0.018263065	0.009331129	-0.009562321	-0.03084585	-0.004835638
BS1	-0.308250486	0.316752311	-0.440066972	-0.311639512	0.280296157	-0.066034325	0.158575587	0.31629612	0.132159129	-0.040941388	-0.15532068	-0.117530277	0.092021625	0.022101585	-0.084101431	-0.035470162	-0.094716095	-0.075825981	0.227461972	0.134051911	-0.098697441	-0.165567017	0.085082008	0.143876243	-0.052128807	0.0131383	-0.062579728	0.026079254	-0.101361295	0.100134238	-0.001701747	-0.101494632	-0.00732019	-0.044394324	-0.047616648	-0.05980057	-0.148149472	-0.031971464	-0.02815404	0.026451977	0.054536358	0.059504895	-0.029580739	0.013203643	0.012221667	0.041788338	0.023123288	0.013719996	-0.00060288	-0.012045121	0.007892268	-0.013694392	0.012831651	0.023303928	0.001594734	0.007733148	0.001931353	0.008024431	-0.003325831	0.004233752	0.001039026
BS2	0.299058411	-0.159742292	-0.368010136	-0.152568558	-0.109070249	0.087154579	-0.422890293	0.187166587	0.087972125	-0.025781103	0.127786712	0.478646233	0.059645149	0.038371988	-0.009256718	-0.173172918	0.096611712	0.131114852	0.040552446	0.06316961	0.200844605	-0.04662851	-0.115411004	0.082525062	0.034984035	0.088124275	0.209786681	-0.016597519	0.028888125	-0.042754028	-0.09516342	0.071421335	-0.133314743	0.003234591	-0.076357992	0.04739499	-0.071659389	0.021873148	-0.050072366	-0.03313012	0.016656554	-0.00363915	-0.026253471	0.018165547	-0.019215721	0.001991736	0.040406462	-0.006525072	-0.007493261	-0.009705533	-0.01523037	0.003629381	0.011017706	0.004352526	-0.000723869	-0.007205761	0.007373485	0.006773009	0.001212569	0.003926131	0.000556878
BS3	0.370981932	0.281642562	-0.008239748	-0.035602696	-0.305266923	0.138012386	-0.247410191	0.024365126	0.166039993	-0.026006356	-0.064375817	-0.500111244	-0.120430275	-0.053602908	0.140301635	0.087484948	-0.08562433	-0.32707836	-0.082590778	-0.078841227	0.088215014	0.202766709	0.209659595	-0.05811158	-0.025838876	-0.057932096	0.076907309	0.085651128	0.060477007	-0.017108744	-0.086388964	0.07610537	-0.057012941	-0.005927017	0.036924612	0.027912893	-0.070098568	-0.010980448	0.015450351	-0.053874294	0.038666032	0.049030818	-0.014071274	0.029463673	-0.005353355	-0.022837573	0.049077284	-0.000811876	-0.021421261	-0.004463218	-0.007764675	-0.005987723	0.006521469	-0.012851195	0.006671066	-0.002088703	0.003807852	0.002298965	0.000867635	0.004325792	0.000649839
BS4	-0.384075635	0.177661427	0.049353803	0.445779325	0.05544998	0.088220783	0.380531669	-0.174897529	-0.241508365	0.276882201	-0.060116366	-0.063475854	0.03384725	-0.116416232	-0.028414647	-0.18081779	0.046116748	0.23045003	0.046958256	-0.143529447	-0.227967024	0.013436004	0.160092247	-0.021978664	0.177849392	-0.011154047	-0.057145386	-0.07101987	0.012310022	-0.079139296	-0.002379659	0.009050519	-0.043510119	-0.073693197	-0.036037728	0.096146824	0.01292079	0.03765163	-0.076746581	-0.075241533	0.05591169	0.033520089	-0.020165118	-0.020242854	-0.001094668	0.015024111	0.052652417	0.005565819	-0.009629613	0.005736645	0.012293886	-0.000129377	0.012873854	-0.01536634	-0.00014517	0.003326868	-0.001662394	-0.00112066	-0.00454027	-0.001729801	-0.004124729
BS5	-0.298144904	0.22176079	0.021714342	0.355242837	0.334859708	0.09833428	0.226576516	0.255732365	-0.381309308	-0.172233284	-0.220397571	0.122481641	0.021462031	0.05648756	-0.030798874	0.084062176	0.195262489	-0.028436303	-0.070295312	0.006257268	0.206531609	0.118986644	0.131475406	-0.022205601	-0.071867899	0.213184463	-0.012020321	0.022698514	0.19932592	0.102784117	0.091192381	0.035814434	0.013589167	-0.002701273	0.02711161	0.050049931	-0.027696376	-0.060644349	-0.005548555	-0.030704295	0.01474846	0.009744452	-0.04901713	-0.031295742	0.020371474	0.02780381	-0.032700634	0.005211193	0.038064283	-0.010462423	-0.002201066	0.013958278	0.002157794	0.007386448	-0.001796693	0.00168564	0.005619552	0.005440347	-0.004730951	0.003191071	-0.000813702
DM1	0.289968229	0.464657111	-0.17855468	-0.428872691	-0.018871463	-0.247876548	-0.018626509	-0.353685657	-0.11244446	-0.318564854	-0.135413334	0.056275692	-0.064801128	-0.19549891	-0.095728941	-0.047496945	0.108470786	-0.083637267	-0.009636243	-0.0977474	-0.005295465	0.08782548	0.081792243	0.088803559	0.029594298	-0.055901665	0.090533618	-0.057643072	0.024271772	0.002841519	0.085946579	-0.054647457	-0.01480494	0.006397158	-0.104264814	-0.0548109	0.003050824	0.007058233	-0.000460771	0.000592862	-0.089009375	0.002390802	-0.019514855	-0.010483846	-0.015708268	-0.012852545	0.014038619	0.01621687	-0.00502704	-0.012481521	0.057196127	0.036400549	-0.009032798	-0.027186623	0.009804362	-0.004866002	-0.01150827	0.026367796	-0.009794878	0.002426737	0.013896401
