	Eigenvalues	Perc.Inertia	Cum.Inertia
Axis.1	9.886032101	0.154457377	0.154457377
Axis.2	7.801492729	0.121888953	0.27634633
Axis.3	6.423441422	0.100358557	0.376704887
Axis.4	4.950531101	0.077346102	0.454050989
Axis.5	4.227065135	0.066042815	0.520093804
Axis.6	3.818648456	0.059661795	0.579755599
Axis.7	2.93589988	0.045869909	0.625625508
Axis.8	2.551574254	0.039865283	0.665490791
Axis.9	2.080603354	0.032506928	0.697997719
Axis.10	1.832869004	0.028636377	0.726634096
Axis.11	1.607952262	0.025122323	0.751756419
Axis.12	1.440691993	0.022509082	0.774265501
Axis.13	1.298793479	0.020292088	0.794557589
Axis.14	1.21764104	0.019024179	0.813581767
Axis.15	1.083000169	0.016920577	0.830502344
Axis.16	0.960208588	0.015002106	0.84550445
Axis.17	0.905221777	0.014143003	0.859647453
Axis.18	0.8248703	0.012887608	0.872535061
Axis.19	0.745100706	0.011641304	0.884176364
Axis.20	0.716103261	0.011188253	0.895364617
Axis.21	0.649200201	0.010142973	0.905507591
Axis.22	0.604081777	0.009438052	0.914945643
Axis.23	0.544389171	0.008505427	0.92345107
Axis.24	0.52100537	0.008140083	0.931591153
Axis.25	0.43909749	0.006860371	0.938451524
Axis.26	0.379856896	0.005934808	0.944386331
Axis.27	0.366342228	0.005723657	0.950109989
Axis.28	0.292015949	0.004562398	0.954672387
Axis.29	0.278951489	0.004358282	0.959030669
Axis.30	0.247545303	0.003867598	0.962898267
Axis.31	0.243555944	0.003805269	0.966703536
Axis.32	0.210715196	0.003292172	0.969995708
Axis.33	0.186033505	0.00290655	0.972902258
Axis.34	0.176622373	0.002759512	0.975661771
Axis.35	0.160363508	0.002505487	0.978167258
Axis.36	0.136124991	0.002126789	0.980294047
Axis.37	0.127636863	0.001994173	0.98228822
Axis.38	0.117585048	0.001837125	0.984125345
Axis.39	0.10689046	0.001670035	0.98579538
Axis.40	0.098448028	0.001538132	0.987333512
Axis.41	0.087798473	0.001371746	0.988705258
Axis.42	0.083388239	0.001302841	0.990008099
Axis.43	0.077398425	0.001209257	0.991217356
Axis.44	0.072571523	0.001133843	0.992351199
Axis.45	0.061417442	0.000959574	0.993310773
Axis.46	0.058728797	0.000917567	0.99422834
Axis.47	0.050606171	0.000790661	0.995019001
Axis.48	0.046935036	0.000733304	0.995752304
Axis.49	0.040841878	0.000638105	0.996390409
Axis.50	0.038045145	0.00059441	0.996984819
Axis.51	0.031231257	0.000487951	0.99747277
Axis.52	0.029089763	0.000454493	0.997927263
Axis.53	0.025465088	0.000397861	0.998325124
Axis.54	0.024634225	0.00038488	0.998710004
Axis.55	0.020938943	0.000327146	0.99903715
Axis.56	0.015774653	0.00024646	0.99928361
Axis.57	0.015459454	0.000241535	0.999525145
Axis.58	0.011141046	0.000174065	0.999699211
Axis.59	0.008246257	0.000128838	0.999828049
Axis.60	0.006308116	9.86E-05	0.999926606
Axis.61	0.004697608	7.34E-05	1
